,Symbol,Year,Altman Z-Score,Bankruptcy Likelihood
1188,VAR,2016,4.08758,safe
1189,ADSK,2013,3.44088,safe
1190,ADSK,2015,3.532,safe
1191,ADSK,2014,4.04083,safe
1192,ADSK,2016,2.15501,grey zone
1193,ECL,2013,2.41824,grey zone
1194,ECL,2012,2.01237,grey zone
1195,ECL,2014,2.5511,grey zone
1196,ECL,2015,2.68606,grey zone
1197,WAT,2015,5.90992,safe
1198,CI,2013,0.81976,bankruptcy imminent
1199,CI,2012,0.68111,bankruptcy imminent
1200,CI,2014,0.81409,bankruptcy imminent
1201,CI,2015,0.98905,bankruptcy imminent
1202,CL,2013,6.25863,safe
1203,CL,2012,4.58424,safe
1204,CL,2014,6.48171,safe
1205,CL,2015,6.5587,safe
1206,APH,2013,2.71235,grey zone
1207,APH,2012,2.76532,grey zone
1208,APH,2014,3.97857,safe
1209,APH,2015,3.86487,safe
1210,NEM,2013,0.21884,bankruptcy imminent
1211,NEM,2012,1.57646,bankruptcy imminent
1212,NEM,2014,0.74831,bankruptcy imminent
1213,NEM,2015,0.84341,bankruptcy imminent
1214,SHW,2013,4.07184,safe
1215,SHW,2012,3.67835,safe
1216,SHW,2014,5.25443,safe
1217,SHW,2015,5.41567,safe
1218,MET,2013,0.11398,bankruptcy imminent
1219,MET,2012,0.08898,bankruptcy imminent
1220,MET,2014,0.1361,bankruptcy imminent
1221,MET,2015,0.13382,bankruptcy imminent
1222,CFG,2015,0.14902,bankruptcy imminent
1223,HRL,2013,4.11983,safe
1224,HRL,2014,4.17269,safe
1225,HRL,2016,25.13605,safe
1226,SBUX,2013,3.68164,safe
1227,SBUX,2015,10.23755,safe
1228,SBUX,2014,5.45365,safe
1229,SBUX,2016,7.81525,safe
1230,PWR,2013,3.67865,safe
1231,PWR,2012,3.54525,safe
1232,PWR,2014,3.19905,safe
1233,PWR,2015,2.11683,grey zone
1234,RHI,2013,8.31332,safe
1235,RHI,2015,8.05955,safe
1236,RHI,2014,9.44524,safe
1237,AYI,2013,4.00209,safe
1238,AYI,2015,6.74423,safe
1239,AYI,2014,4.94292,safe
1240,AYI,2016,7.35241,safe
1241,MCHP,2013,3.56988,safe
1242,MCHP,2015,3.52341,safe
1243,MCHP,2014,4.38869,safe
1244,MCHP,2016,2.9912,grey zone
1245,GILD,2013,7.29506,safe
1246,GILD,2012,3.83665,safe
1247,GILD,2014,6.94236,safe
1248,GILD,2015,4.98766,safe
1249,LH,2013,2.54485,grey zone
1250,LH,2012,2.69236,grey zone
1251,BSX,2013,0.51016,bankruptcy imminent
1252,BSX,2012,-0.72398,bankruptcy imminent
1253,BSX,2014,0.44246,bankruptcy imminent
1254,BSX,2015,0.72187,bankruptcy imminent
1255,KMI,2015,0.38674,bankruptcy imminent
1256,NWL,2013,2.61424,grey zone
1257,NWL,2012,2.12974,grey zone
1258,NWL,2014,2.35948,grey zone
1259,NWL,2015,2.20344,grey zone
1260,EMN,2013,2.11114,grey zone
1261,EMN,2012,1.45661,bankruptcy imminent
1262,EMN,2014,1.31146,bankruptcy imminent
1263,EMN,2015,1.38322,bankruptcy imminent
1264,HAS,2013,3.58846,safe
1265,HAS,2015,4.04181,safe
1266,HAS,2014,3.69741,safe
1267,ALLE,2015,2.6048,grey zone
1268,ALLE,2014,2.75166,grey zone
1269,EIX,2013,0.59102,bankruptcy imminent
1270,EIX,2012,0.50752,bankruptcy imminent
1271,EIX,2014,0.72242,bankruptcy imminent
1272,EIX,2015,0.66606,bankruptcy imminent
1273,LUV,2013,1.65396,bankruptcy imminent
1274,LUV,2015,2.60867,grey zone
1275,LUV,2014,2.4642,grey zone
1276,DPS,2013,1.8031,bankruptcy imminent
1277,DPS,2015,2.71655,grey zone
1278,DPS,2014,2.49003,grey zone
1279,ROP,2013,3.15663,safe
1280,ROP,2012,2.93173,grey zone
1281,ROP,2014,3.80706,safe
1282,ROP,2015,3.48863,safe
1283,MA,2013,11.69126,safe
1284,MA,2015,9.49784,safe
1285,MA,2014,9.98318,safe
1286,TJX,2013,5.64478,safe
1287,TJX,2015,6.39386,safe
1288,TJX,2014,6.4394,safe
1289,TJX,2016,6.29275,safe
1290,VNO,2013,0.77628,bankruptcy imminent
1291,VNO,2015,0.93764,bankruptcy imminent
1292,VNO,2014,0.95862,bankruptcy imminent
1293,WYN,2013,1.28878,bankruptcy imminent
1294,WYN,2012,1.09158,bankruptcy imminent
